Agent Class,Total Wealth,AegeanPottery,EMPottery,NAPottery,AdriaticPottery,IberianPottery,GallicPottery,TarrPottery,BaeticanPottery,EgyptianPottery,ItalianPottery
Adria,0.21837500000002447,2.4,2.22,2.37,2.36,2.24,2.51,2.04,2.32,2.37,2.55
Aegean,0.402324999999607,3.64,3.99,4.06,3.97,3.83,3.95,3.82,4.2,3.78,3.84
Baetica,0.2905999999999975,3.31,3.36,3.19,3.65,2.84,3.09,3.6,3.27,3.49,3.43
Eastern Mediterranean,19.42419999999998,3.11,3.37,3.13,3.22,3.64,3.36,3.6,3.36,3.62,3.31
Egypt,31.43430000000019,3.64,3.6,3.39,3.55,3.19,3.46,3.51,3.27,3.42,3.38
Gallia,109.75970000000073,3.55,3.48,3.37,3.49,3.81,3.48,3.69,3.7,3.42,3.6
Iberian Peninsula,380.8662750000003,4.58,4.42,4.44,4.67,4.66,4.83,4.67,4.48,4.45,4.58
Italy,73.61685000000047,3.05,3.28,3.15,2.84,3.28,3.21,3.02,2.91,3.33,2.98
North Africa,1220.6102499999968,5.12,4.85,5.21,5.01,5.29,5.07,4.73,5.23,5.1,5.58
Tarraconensis,1349.3626999999965,5.05,5.13,5.06,4.85,5.11,5.05,4.98,5.16,4.95,4.69
