Agent Class,Total Wealth,TarrPottery,EMPottery,IberianPottery,AdriaticPottery,AegeanPottery,EgyptianPottery,WMPottery,NAPottery,BaeticanPottery,GallicPottery,ItalianPottery
Adria,224.85,1.41,1.71,1.64,1.41,1.26,1.4,1.46,1.35,1.63,1.61,1.73
Aegean,223.0720000000173,1.75,1.72,1.74,1.74,1.89,1.7,1.86,1.78,1.54,1.78,1.38
Baetica,274.40300000002634,1.89,1.74,1.93,2.03,1.88,1.74,1.71,1.47,1.75,2.0,1.75
Eastern Mediterranean,224.75412500001056,1.72,1.6,1.86,1.67,1.78,1.64,1.56,2.03,1.52,1.74,1.63
Egypt,235.81595000001084,1.81,1.79,1.43,1.92,1.86,1.98,1.42,1.63,1.57,1.66,1.71
Gallia,242.11675000001492,2.39,2.22,2.11,2.32,2.12,1.99,2.21,2.32,2.39,2.28,2.26
Iberian Peninsula,189.79432500002633,1.64,1.89,1.64,1.85,1.74,1.72,1.85,1.82,1.62,1.81,1.97
Italy,225.71222500001758,1.99,1.93,2.25,2.07,2.32,2.06,2.35,2.05,1.85,1.93,2.28
North Africa,231.38085000001934,1.77,1.91,1.98,1.82,1.98,1.87,1.84,2.07,1.97,1.81,1.9
Tarraconensis,225.31700000002672,1.95,1.95,1.67,1.89,1.86,1.85,1.96,1.61,2.07,1.98,1.7
Western Mediterranean,266.2235250000318,1.73,1.82,1.85,1.47,1.61,1.73,1.43,1.84,1.5,1.55,1.67
