Agent Class,Total Wealth,EgyptianPottery,AegeanPottery,WMPottery,EMPottery,ItalianPottery,NAPottery,IberianPottery,AdriaticPottery,TarrPottery,GallicPottery,BaeticanPottery
Adria,0.0,3.05,2.61,2.97,2.83,2.92,2.91,2.65,2.64,2.79,3.03,3.14
Aegean,0.0,2.78,2.73,2.51,3.23,2.64,2.87,2.61,3.05,2.67,2.52,2.85
Baetica,0.0,1.92,2.09,1.83,1.85,2.06,2.24,2.17,2.0,2.0,2.22,1.99
Eastern Mediterranean,0.0,2.87,2.44,2.76,2.99,2.79,2.88,2.85,2.72,2.87,2.75,2.74
Egypt,0.0,2.92,3.18,3.24,3.02,3.04,3.06,3.03,3.17,3.45,3.34,3.18
Gallia,0.0,4.08,4.59,4.54,4.15,4.86,4.3,4.54,4.43,4.25,4.36,4.44
Iberian Peninsula,0.0,4.41,4.24,4.42,4.42,4.63,4.38,4.07,4.66,4.45,3.85,4.15
Italy,0.0,3.66,3.82,2.99,3.87,3.18,3.25,2.94,3.57,3.1,3.24,3.59
North Africa,64.09,5.14,4.65,4.87,5.04,4.52,4.7,4.82,5.43,4.53,4.74,4.98
Tarraconensis,2444.5,6.29,6.79,6.59,6.83,6.54,6.58,6.75,6.45,6.67,6.62,6.9
Western Mediterranean,2892.81,4.34,4.25,4.34,4.08,4.14,4.29,4.08,3.89,4.33,4.33,4.29
