Agent Class,Total Wealth,EMPottery,IberianPottery,WMPottery,AegeanPottery,GallicPottery,TarrPottery,BaeticanPottery,EgyptianPottery,ItalianPottery,AdriaticPottery,NAPottery
Adria,2.4510000000000947,1.86,1.68,1.84,1.77,2.0,1.66,1.82,1.8,1.87,1.97,1.63
Aegean,2.5340000000001197,1.99,2.02,2.04,2.19,2.42,1.89,2.05,2.04,2.19,2.19,2.13
Baetica,2.2880000000000753,2.19,1.9,2.03,1.88,1.78,1.66,2.18,2.22,2.18,2.16,1.94
Eastern Mediterranean,2.4720000000000875,1.99,2.1,2.08,1.96,1.97,2.03,2.29,2.34,1.86,2.25,2.04
Egypt,2.4680000000000866,1.98,1.91,1.99,2.05,2.08,2.2,2.45,2.02,2.09,1.87,2.29
Gallia,2.3860000000000885,1.67,2.07,2.01,1.85,2.11,1.87,2.16,2.12,2.16,1.75,1.81
Iberian Peninsula,2.7020000000000572,2.48,2.74,2.36,2.67,2.54,2.91,2.5,2.37,2.27,2.47,2.56
Italy,2.7110000000000802,1.85,2.15,2.11,2.25,2.1,2.11,1.95,2.34,2.23,2.15,2.05
North Africa,2.1090000000000786,2.57,2.48,2.18,2.44,2.45,2.49,2.44,2.78,2.74,2.48,2.53
Tarraconensis,2.1460000000000825,2.39,2.48,2.45,2.29,2.38,2.7,2.46,2.09,2.42,2.49,2.35
Western Mediterranean,2.571000000000086,2.96,2.79,2.75,3.02,2.47,2.77,2.86,2.65,2.78,2.7,2.68
